"","Name","Description","Designator","Part Number","Price","Qty"
,"35RAPC3BH3","CONN JACK STEREO 3.5MM R/A","J4","Switchcraft 35RAPC3BH3","2.51","1"
,"M20-9990246","CONN HEADER VERT 2POS 2.54MM","J5","Harwin M20-9990246","0.024","1"
,"IHLP4040DZER100M11","Commercial Inductors, Low DCR Series 10uH 7.5A 30.5mΩ 20%","L1, L2, L3, L4","Vishay Dale IHLP4040DZER100M11","1.98","4"
,"74437368100","FIXED IND 10UH 5.2A 30 MOHM SMD","L5","Wurth Electronics 74437368100","2.57","1"
,"TSM-106-01-L-SH","Board Connector, 6 Contact(s), 1 Row(s), Male, Right Angle, 0.1 inch Pitch, Surface Mount Terminal, Black Insulator","P1","Samtec TSM-106-01-L-SH","1.47","1"
,"MBT3904DW1T1G","Dual General Purpose Transistors, 6-Pin SOT-363, Pb-Free, Tape and Reel","Q1","ON Semiconductor MBT3904DW1T1G","0.26","1"
,"DMG2307L-7","MOSFET P-CH 30V 2.5A SOT-23","Q2","Diodes DMG2307L-7","0.4","1"
,"RES 10K 5% 0603","10K 5% 0603 Chip Resistor","R1, R2, R3","","","3"
,"RES 100K 1% 0603","100K 1% 0603 Chip Resistor","R4, R7","","","2"
,"RES 1K 5% 0603","1K 5% 0603 Chip Resistor","R5, R8","","","2"
,"RES 2.2K 1% 0603","2.2K 1% 0603 Chip Resistor","R6","","","1"
,"RES 470R 5% 0603","470R 5% 0603 Chip Resistor","R10, R11","","","2"
,"RES 3.3R 5% 0603","3.3R 5% 0603 Chip Resistor","R12, R15, R19, R23","","","4"
,"RES 100K 5% 0603","100K 5% 0603 Chip Resistor","R13, R14, R21, R22, R26, R27, R28, R29, R30, R31, R37, R38","","","12"
,"RES 10R 5% 0805","10R 5% 0805 Chip Resistor","R16, R17, R18, R20","","","4"
,"RES 20K 5% 0603","20K 5% 0603 Chip Resistor","R24, R25","","","2"
,"RES 84.5K 1% 0603","84.5K 1% 0603 Chip Resistor","R32","","","1"
,"RES 10K 1% 0603","10K 1% 0603 Chip Resistor","R33","","","1"
,"RES 51K 5% 0603","51K 5% 0603 Chip Resistor","R36","","","1"
,"RES 0R 0603","0R 0603 Chip Resistor","R39, R40","","","2"
,"BOOT","FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Bulk","SW1","TE Connectivity Alcoswitch FSMSM","0.1028","1"
,"12V, 3V3, GND, RCH, LCH, BCK, DIN, WS","Interconnection Device","TP1, TP2, TP5, TP10, TP11, TP12, TP13, TP14","Keystone Electronics 5019","0.984","8"
,"ESP32-WROOM-32E (16MB)","RX TXRX MOD WIFI TRACE ANT SMD","U1","Espressif Systems ESP32-WROOM-32E (16MB)","","1"
,"CP2104-F03-GM","IC SGL USB-TO-UART BRIDGE 24QFN","U2","Silicon Labs CP2104-F03-GM","2.55987","1"
,"MCP73831T-2ACI/OT","IC CONTROLLR LI-ION 4.2V SOT23-5","U4","Microchip MCP73831T-2ACI/OT","0.76","1"
,"PCM5102APWR","IC DAC 16/24/32BIT 384K 20TSSOP","U5","Texas Instruments PCM5102APWR","6.08","1"
,"TPA3116D2QDAD","Audio Amplifier, 50W, 2 Channel(s), 1 Func, PDSO32","U6","Texas Instruments TPA3116D2QDADRQ1","5.84","1"
,"PAM2423","Switching Regulator, Current-mode, 520kHz Switching Freq-Max, PDSO8","U7","Diodes PAM2423AECADJR","1.06641","1"
,"AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","U8","Diodes AP2112K-3.3TRG1","0.37","1"
